2018 rank,City,State,2018 estimate,2010 Census,Change,2016 land area sq mi,2016 land area sq km,2016 population density per sq mi,2016 population density per sq km,Location : Latitude / Longitude / Coordinates,Wikipedia Link,City Summary
11,Austin, Texas,"964,254","790,390",+22.00%,312.7 sq mi,809.9 km2,"3,031/sq mi","1,170/km2",30°18′14″N 97°45′16″W﻿ / ﻿30.3039°N 97.7544°W﻿ / 30.3039; -97.7544﻿ (11 Austin),"https://en.wikipedia.org/wiki/Austin,_Texas","In the 1830s, pioneers began to settle the area in central Austin along the Colorado River. In 1839, the site was chosen to replace Houston as the capital of the Republic of Texas and was incorporated under the name ""Waterloo"". Shortly afterward, the name was changed to Austin in honor of Stephen F. Austin, the ""Father of Texas"" and the republic's first secretary of state. The city grew throughout the 19th century and became a center for government and education with the construction of the Texas State Capitol and the University of Texas at Austin.[9] After a severe lull in economic growth from the Great Depression, Austin resumed its steady development, and by the 1990s it emerged as a center for technology and business.[10] A number of Fortune 500 companies have headquarters or regional offices in Austin including, 3M, Amazon.com, Apple Inc., Cisco, eBay, General Motors, Google, IBM, Intel, Oracle Corporation, PayPal, Texas Instruments, and Whole Foods Market.[11] Dell's worldwide headquarters is located in a nearby suburb, Round Rock."
12,Jacksonville, Florida,"903,889","821,784",+9.99%,747.4 sq mi,"1,935.8 km2","1,178/sq mi",455/km2,30°20′13″N 81°39′42″W﻿ / ﻿30.3369°N 81.6616°W﻿ / 30.3369; -81.6616﻿ (12 Jacksonville),"https://en.wikipedia.org/wiki/Jacksonville,_Florida","Jacksonville is centered on the banks of the St. Johns River in the First Coast region of northeast Florida, about 25 miles (40 km) south of the Georgia state line and 328 miles (528 km) north of Miami.[15] The Jacksonville Beaches communities are along the adjacent Atlantic coast. The area was originally inhabited by the Timucua people, and in 1564 was the site of the French colony of Fort Caroline, one of the earliest European settlements in what is now the continental United States. Under British rule, a settlement grew at the narrow point in the river where cattle crossed, known as Wacca Pilatka to the Seminole and the Cow Ford to the British. A platted town was established there in 1822, a year after the United States gained Florida from Spain; it was named after Andrew Jackson, the first military governor of the Florida Territory and seventh President of the United States."
13,Fort Worth, Texas,"895,008","741,206",+20.75%,342.9 sq mi,888.1 km2,"2,491/sq mi",962/km2,32°46′53″N 97°20′48″W﻿ / ﻿32.7815°N 97.3467°W﻿ / 32.7815; -97.3467﻿ (16 Fort Worth),"https://en.wikipedia.org/wiki/Fort_Worth,_Texas",The city of Fort Worth was established in 1849 as an army outpost on a bluff overlooking the Trinity River. Fort Worth has historically been a center of the longhorn cattle trade. It still embraces its Western heritage and traditional architecture and design.[9][10] USS Fort Worth (LCS-3) is the first ship of the United States Navy named after the city.[11]
14,Columbus, Ohio,"892,533","787,033",+13.40%,218.5 sq mi,565.9 km2,"3,936/sq mi","1,520/km2",39°59′07″N 82°59′05″W﻿ / ﻿39.9852°N 82.9848°W﻿ / 39.9852; -82.9848﻿ (15 Columbus),"https://en.wikipedia.org/wiki/Columbus,_Ohio","Columbus is the county seat of Franklin County.[26] The municipality has also annexed portions of adjoining Delaware, Pickaway and Fairfield counties. Named for explorer[27][28] Christopher Columbus, the city was founded in 1812, at the confluence of the Scioto and Olentangy rivers, and assumed the functions of state capital in 1816."
15,San Francisco, California,"883,305","805,235",+9.70%,46.9 sq mi,121.5 km2,"18,569/sq mi","7,170/km2",37°43′38″N 123°01′56″W﻿ / ﻿37.7272°N 123.0322°W﻿ / 37.7272; -123.0322﻿ (13 San Francisco),https://en.wikipedia.org/wiki/San_Francisco,"As of 2017, it was the seventh-highest income county in the United States, with a per capita personal income of $119,868.[20] As of 2015, San Francisco proper had a GDP of $154.2 billion, and a GDP per capita of $178,479.[21][22] The San Francisco CSA was the country's third-largest urban economy as of 2017, with a GDP of $907 billion.[23]  Of the 500+ primary statistical areas in the US, the San Francisco CSA had among the highest GDP per capita in 2017, at $93,938.[23] San Francisco was ranked 16th in the world and third in the United States on the Global Financial Centres Index as of March 2019.[24]"
16,Charlotte, North Carolina,"872,498","731,424",+19.29%,305.4 sq mi,791.0 km2,"2,757/sq mi","1,064/km2",35°12′28″N 80°49′52″W﻿ / ﻿35.2078°N 80.8310°W﻿ / 35.2078; -80.8310﻿ (17 Charlotte),"https://en.wikipedia.org/wiki/Charlotte,_North_Carolina","Between 2004 and 2014, Charlotte was ranked as the country's fastest-growing metro area, with 888,000 new residents.[6] Based on U.S. Census data from 2005 to 2015, it tops the 50 largest U.S. cities as the millennial hub.[7] It is the second-largest city in the southeastern United States, just behind Jacksonville, Florida. It is the third-fastest-growing major city in the United States.[8] It is listed as a ""gamma"" global city by the Globalization and World Cities Research Network.[9] Residents are referred to as ""Charlotteans""."
17,Indianapolis, Indiana,"867,125","820,445",+5.69%,361.5 sq mi,936.3 km2,"2,366/sq mi",914/km2,39°46′36″N 86°08′45″W﻿ / ﻿39.7767°N 86.1459°W﻿ / 39.7767; -86.1459﻿ (14 Indianapolis),https://en.wikipedia.org/wiki/Indianapolis,"Indigenous peoples inhabited the area dating to approximately 2000 BC. In 1818, the Delaware relinquished their tribal lands in the Treaty of St. Mary's.[16] In 1821, Indianapolis was founded as a planned city for the new seat of Indiana's state government. The city was platted by Alexander Ralston and Elias Pym Fordham on a 1 square mile (2.6 km2) grid next to the White River. Completion of the National and Michigan roads and arrival of rail later solidified the city's position as a manufacturing and transportation hub.[17] Two of the city's nicknames reflect its historical ties to transportation—the ""Crossroads of America"" and ""Railroad City"".[18][19][1] Since the 1970 city-county consolidation, known as Unigov, local government administration operates under the direction of an elected 25-member city-county council headed by the mayor."
18,Seattle, Washington,"744,955","608,660",+22.39%,83.8 sq mi,217.0 km2,"8,405/sq mi","3,245/km2",47°37′14″N 122°21′03″W﻿ / ﻿47.6205°N 122.3509°W﻿ / 47.6205; -122.3509﻿ (20 Seattle),https://en.wikipedia.org/wiki/Seattle,"The city is situated on an isthmus between Puget Sound (an inlet of the Pacific Ocean) and Lake Washington, about 100 miles (160 km) south of the Canada–United States border. A major gateway for trade with Asia, Seattle is the fourth-largest port in North America in terms of container handling as of 2015[update].[14]"
19,Denver, Colorado,"716,492","600,158",+19.38%,153.3 sq mi,397.0 km2,"4,521/sq mi","1,746/km2",39°45′43″N 104°52′52″W﻿ / ﻿39.7619°N 104.8811°W﻿ / 39.7619; -104.8811﻿ (Denver),https://en.wikipedia.org/wiki/Denver,"Denver is ranked as a Beta world city by the Globalization and World Cities Research Network. With an estimated population of 716,492 in 2018, Denver is the 19th-most populous U.S. city, and with a 17.41% increase since the 2010 United States Census, it has been one of the fastest-growing major cities in the United States.[18] The 10-county Denver-Aurora-Lakewood, CO Metropolitan Statistical Area had an estimated 2017 population of 2,888,227 and is the 19th most populous U.S. metropolitan statistical area.[19] The 12-city Denver-Aurora, CO Combined Statistical Area had an estimated 2017 population of 3,515,374 and is the 15th most populous U.S. metropolitan area.[20] Denver is the most populous city of the 18-county Front Range Urban Corridor, an oblong urban region stretching across two states with an estimated 2017 population of 4,895,589.[21] Denver is the most populous city within a 500-mile (800 km) radius and the second-most populous city in the Mountain West after Phoenix, Arizona. In 2016, Denver was named the best place to live in the United States by U.S. News & World Report.[22]"
20,"Washington, D.C.", District of Columbia,"702,455","601,723",+16.74%,61.1 sq mi,158.2 km2,"11,148/sq mi","4,304/km2","38°54′15″N 77°01′02″W﻿ / ﻿38.9041°N 77.0172°W﻿ / 38.9041; -77.0172﻿ (Washington, D.C.)","https://en.wikipedia.org/wiki/Washington,_D.C.","The signing of the Residence Act on July 16, 1790, approved the creation of a capital district located along the Potomac River on the country's East Coast. The U.S. Constitution provided for a federal district under the exclusive jurisdiction of the U.S. Congress, and the District is therefore not a part of any state. The states of Maryland and Virginia each donated land to form the federal district, which included the pre-existing settlements of Georgetown and Alexandria. The City of Washington was founded in 1791 to serve as the new national capital. In 1846, Congress returned the land originally ceded by Virginia; in 1871, it created a single municipal government for the remaining portion of the District."
21,Boston, Massachusetts,"694,583","617,594",+12.47%,48.3 sq mi,125.1 km2,"13,938/sq mi","5,381/km2",42°19′55″N 71°01′13″W﻿ / ﻿42.3320°N 71.0202°W﻿ / 42.3320; -71.0202﻿ (Boston),https://en.wikipedia.org/wiki/Boston,"Boston is one of the oldest cities in the United States, founded on the Shawmut Peninsula in 1630 by Puritan settlers from England.[12][13] It was the scene of several key events of the American Revolution, such as the Boston Massacre, the Boston Tea Party, the Battle of Bunker Hill, and the Siege of Boston. Upon gaining U.S. independence from Great Britain, it continued to be an important port and manufacturing hub as well as a center for education and culture.[14][15] The city has expanded beyond the original peninsula through land reclamation and municipal annexation. Its rich history attracts many tourists, with Faneuil Hall alone drawing more than 20 million visitors per year.[16] Boston's many firsts include the United States' first public park (Boston Common, 1634), first public or state school (Boston Latin School, 1635)[17] and first subway system (Tremont Street Subway, 1897).[18]"
22,El Paso, Texas,"682,669","649,121",+5.17%,256.8 sq mi,665.1 km2,"2,660/sq mi","1,030/km2",31°50′54″N 106°25′37″W﻿ / ﻿31.8484°N 106.4270°W﻿ / 31.8484; -106.4270﻿ (19 El Paso),"https://en.wikipedia.org/wiki/El_Paso,_Texas","El Paso stands on the Rio Grande across the Mexico–United States border from Ciudad Juárez, the most populous city in the Mexican state of Chihuahua with 1.4 million people.[7] Las Cruces, in the neighboring U.S. state of New Mexico, has a population of 215,579.[8] On the U.S. side, El Paso metropolitan area forms part of the larger El Paso–Las Cruces CSA, with a population of 1,060,397.[9]"
23,Detroit, Michigan,"672,662","713,777",−5.76%,138.8 sq mi,359.5 km2,"4,847/sq mi","1,871/km2",42°22′59″N 83°06′08″W﻿ / ﻿42.3830°N 83.1022°W﻿ / 42.3830; -83.1022﻿ (18 Detroit),https://en.wikipedia.org/wiki/Detroit,"Detroit is a major port located on the Detroit River, one of the four major straits that connect the Great Lakes system to the Saint Lawrence Seaway. The Detroit Metropolitan Airport is among the most important hubs in the United States. The City of Detroit anchors the second-largest regional economy in the Midwest, behind Chicago and ahead of Minneapolis–Saint Paul, and the 13th-largest in the United States.[8] Detroit and its neighboring Canadian city Windsor are connected through a tunnel and the Ambassador Bridge, the busiest international crossing in North America.[9] Detroit is best known as the center of the U.S. automobile industry, and the ""Big Three"" auto manufacturers General Motors, Ford, and Chrysler are all headquartered in Metro Detroit."
24,Nashville, Tennessee,"669,053","601,222",+11.28%,475.9 sq mi,"1,232.6 km2","1,388/sq mi",536/km2,36°10′18″N 86°47′06″W﻿ / ﻿36.1718°N 86.7850°W﻿ / 36.1718; -86.7850﻿ (Nashville),"https://en.wikipedia.org/wiki/Nashville,_Tennessee","Named for Francis Nash, a general of the Continental Army during the American Revolutionary War, the city was founded in 1779. The city grew quickly due to its strategic location as a port on the Cumberland River and, in the 19th century, a railroad center. Nashville seceded with Tennessee during the American Civil War; in 1862 it was the first state capital in the Confederacy to fall to Union troops. After the war, the city reclaimed its position and developed a manufacturing base."
25,Portland, Oregon,"653,115","583,776",+11.88%,133.5 sq mi,345.8 km2,"4,793/sq mi","1,851/km2",45°32′13″N 122°39′00″W﻿ / ﻿45.5370°N 122.6500°W﻿ / 45.5370; -122.6500﻿ (Portland),"https://en.wikipedia.org/wiki/Portland,_Oregon","Named after Portland, Maine,[10] the Oregon settlement began to be populated in the 1830s near the end of the Oregon Trail. Its water access provided convenient transportation of goods, and the timber industry was a major force in the city's early economy. At the turn of the 20th century, the city had a reputation as one of the most dangerous port cities in the world, a hub for organized crime and racketeering. After the city's economy experienced an industrial boom during World War II, its hard-edged reputation began to dissipate. Beginning in the 1960s,[11] Portland became noted for its growing progressive political values, earning it a reputation as a bastion of counterculture.[12]"
26,Memphis, Tennessee,"650,618","646,889",+0.58%,317.4 sq mi,822.1 km2,"2,056/sq mi",794/km2,35°06′10″N 89°58′39″W﻿ / ﻿35.1028°N 89.9774°W﻿ / 35.1028; -89.9774﻿ (Memphis),"https://en.wikipedia.org/wiki/Memphis,_Tennessee","The first European explorer to visit the area of present-day Memphis was Spanish conquistador Hernando de Soto in 1541 with his expedition into the New World. The high bluffs protecting the location from the waters of the Mississippi would then be contested between the Spanish, French, and the English as Memphis took shape. Modern Memphis was founded in 1819 by three prominent Americans: John Overton, James Winchester, and future president Andrew Jackson.[7]"
27,Oklahoma City, Oklahoma,"649,021","579,999",+11.90%,606.3 sq mi,"1,570.3 km2","1,053/sq mi",407/km2,35°28′02″N 97°30′49″W﻿ / ﻿35.4671°N 97.5137°W﻿ / 35.4671; -97.5137﻿ (Oklahoma City),https://en.wikipedia.org/wiki/Oklahoma_City,"Oklahoma City's city limits extend somewhat into Canadian, Cleveland, and Pottawatomie counties, though much of those areas outside the core Oklahoma County area are suburban tracts or protected rural zones (watershed). The city ranks as the ninth-largest city in the United States by total area when including consolidated city-counties; it is the second largest city in the United States by total area, after Houston, when not including consolidated cities."
28,Las Vegas, Nevada,"644,644","583,756",+10.43%,134.4 sq mi,348.1 km2,"4,709/sq mi","1,818/km2",36°13′45″N 115°15′36″W﻿ / ﻿36.2292°N 115.2601°W﻿ / 36.2292; -115.2601﻿ (Las Vegas),https://en.wikipedia.org/wiki/Las_Vegas,"Las Vegas (/lɑːs ˈveɪɡəs/,[6] Spanish for ""The Meadows""; Spanish: [laz ˈβeɣas]), officially the City of Las Vegas and often known simply as Vegas, is the 28th-most populated city in the United States, the most populated city in the state of Nevada, and the county seat of Clark County. The city anchors the Las Vegas Valley metropolitan area and is the largest city within the greater Mojave Desert.[7] Las Vegas is an internationally renowned major resort city, known primarily for its gambling, shopping, fine dining, entertainment, and nightlife. The Las Vegas Valley as a whole serves as the leading financial, commercial, and cultural center for Nevada."
29,Louisville, Kentucky,"620,118","597,337",+3.81%,263.5 sq mi,682.5 km2,"2,339/sq mi",903/km2,38°09′55″N 85°38′51″W﻿ / ﻿38.1654°N 85.6474°W﻿ / 38.1654; -85.6474﻿ (Louisville),"https://en.wikipedia.org/wiki/Louisville,_Kentucky","Louisville, named for King Louis XVI of France, was founded in 1778 by George Rogers Clark, making it one of the oldest cities west of the Appalachian Mountains. Sited beside the Falls of the Ohio, the only major obstruction to river traffic between the upper Ohio River and the Gulf of Mexico, the settlement first grew as a portage site. It was the founding city of the Louisville and Nashville Railroad, which grew into a 6,000-mile (9,700 km) system across 13 states."
30,Baltimore, Maryland,"602,495","620,961",−2.97%,80.9 sq mi,209.5 km2,"7,598/sq mi","2,934/km2",39°18′00″N 76°36′38″W﻿ / ﻿39.3000°N 76.6105°W﻿ / 39.3000; -76.6105﻿ (Baltimore),https://en.wikipedia.org/wiki/Baltimore,"Baltimore is also the second-largest seaport in the Mid-Atlantic.[13] The city's Inner Harbor was once the second leading port of entry for immigrants to the United States. In addition, Baltimore was a major manufacturing center.[14] After a decline in major manufacturing, heavy industry, and restructuring of the rail industry, Baltimore has shifted to a service-oriented economy. Johns Hopkins Hospital (founded 1889) and Johns Hopkins University (founded 1876) are the city's top two employers.[15]"
31,Milwaukee, Wisconsin,"592,025","594,833",−0.47%,96.2 sq mi,249.2 km2,"6,186/sq mi","2,388/km2",43°03′48″N 87°58′00″W﻿ / ﻿43.0633°N 87.9667°W﻿ / 43.0633; -87.9667﻿ (Milwaukee),https://en.wikipedia.org/wiki/Milwaukee,"The first Europeans to pass through the area were French Catholic Jesuit missionaries, who were ministering to Native Americans, and fur traders. In 1818, the French Canadian explorer Solomon Juneau settled in the area, and in 1846, Juneau's town combined with two neighboring towns to incorporate as the city of Milwaukee. Large numbers of German immigrants arrived during the late 1840s, after the German revolutions, with Poles and other eastern European immigrants arriving in the following decades. Milwaukee is known for its brewing traditions, begun with the German immigrants."
32,Albuquerque, New Mexico,"560,218","545,852",+2.63%,188.2 sq mi,487.4 km2,"2,972/sq mi","1,147/km2",35°06′20″N 106°38′51″W﻿ / ﻿35.1056°N 106.6474°W﻿ / 35.1056; -106.6474﻿ (Albuquerque),"https://en.wikipedia.org/wiki/Albuquerque,_New_Mexico","The city was named in honor of Francisco Fernández de la Cueva, 10th Duke of Alburquerque, who was Viceroy of New Spain from 1702 to 1711.[7][8] The growing village was named by provincial governor Francisco Cuervo y Valdés. The Duke's title referred to the Spanish town of Alburquerque, in the province of Badajoz, near the border with Portugal."
33,Tucson, Arizona,"545,975","520,116",+4.97%,230.8 sq mi,597.8 km2,"2,299/sq mi",888/km2,32°09′11″N 110°52′14″W﻿ / ﻿32.1531°N 110.8706°W﻿ / 32.1531; -110.8706﻿ (Tucson),"https://en.wikipedia.org/wiki/Tucson,_Arizona","Major incorporated suburbs of Tucson include Oro Valley and Marana northwest of the city, Sahuarita[8] south of the city, and South Tucson in an enclave south of downtown. Communities in the vicinity of Tucson (some within or overlapping the city limits) include Casas Adobes, Catalina Foothills, Flowing Wells, Midvale Park, Tanque Verde, Tortolita, and Vail. Towns outside the Tucson metro area include Benson to the southeast, Catalina and Oracle to the north, and Green Valley to the south."
34,Fresno, California,"530,093","494,665",+7.16%,114.4 sq mi,296.3 km2,"4,563/sq mi","1,762/km2",36°47′01″N 119°47′36″W﻿ / ﻿36.7836°N 119.7934°W﻿ / 36.7836; -119.7934﻿ (Fresno),"https://en.wikipedia.org/wiki/Fresno,_California","Named for the abundant ash trees lining the San Joaquin River, Fresno was founded in 1872 as a railway station of the Central Pacific Railroad before it was incorporated in 1885. The city has since become an economic hub of Fresno County and the San Joaquin Valley, with much of the surrounding areas in the Metropolitan Fresno region predominantly tied to large-scale agricultural production."
35,Mesa, Arizona,"508,958","439,041",+15.92%,137.9 sq mi,357.2 km2,"3,514/sq mi","1,357/km2",33°24′07″N 111°43′03″W﻿ / ﻿33.4019°N 111.7174°W﻿ / 33.4019; -111.7174﻿ (Mesa),"https://en.wikipedia.org/wiki/Mesa,_Arizona","Mesa is the largest suburban city by population in the United States,[5] the third-largest city in Arizona after Phoenix and Tucson, and the 35th-largest city overall in the US. The city is home to 508,958 people as of 2018 according to the Census Bureau, which makes it more populous than major cities such as  Minneapolis, St. Louis, or Miami. Mesa is home to numerous higher education facilities including the Polytechnic campus of Arizona State University. It is also home to the largest relief airport in the Phoenix area, Phoenix-Mesa Gateway Airport, which is located in the southeastern corner of the city."
36,Sacramento, California,"508,529","466,488",+9.01%,97.9 sq mi,253.6 km2,"5,059/sq mi","1,953/km2",38°34′00″N 121°28′07″W﻿ / ﻿38.5666°N 121.4686°W﻿ / 38.5666; -121.4686﻿ (Sacramento),"https://en.wikipedia.org/wiki/Sacramento,_California","Sacramento is the fastest-growing major city in California,[14] owing to its status as a notable financial center on the West Coast and as a major educational hub, home of Sacramento State University and University of California, Davis. Similarly, Sacramento is a major center for the California healthcare industry, as the seat of Sutter Health, the world-renowned UC Davis Medical Center, and the UC Davis School of Medicine, and notable tourist destination in California, as the site of The California Museum, the Crocker Art Museum, California Hall of Fame, the California State Capitol Museum, and the Old Sacramento State Historic Park. Sacramento is known for its evolving contemporary culture, dubbed the most ""hipster city"" in California.[15][16] In 2002, the Harvard University Civil Rights Project conducted for Time magazine named Sacramento ""America's Most Diverse City"".[17]"
37,Atlanta, Georgia,"498,044","420,003",+18.58%,133.5 sq mi,345.8 km2,"3,539/sq mi","1,366/km2",33°45′46″N 84°25′22″W﻿ / ﻿33.7629°N 84.4227°W﻿ / 33.7629; -84.4227﻿ (Atlanta),https://en.wikipedia.org/wiki/Atlanta,"Atlanta (/ætˈlæntə/) is the capital and most populous city in the U.S. state of Georgia. With an estimated 2017 population of 486,290,[13] it is also the 38th most-populous city in the United States. The city serves as the cultural and economic center of the Atlanta metropolitan area, home to 5.8 million people and the ninth-largest metropolitan area in the nation.[7] Atlanta is the seat of Fulton County, the most populous county in Georgia.  A small portion of the city extends eastward into neighboring DeKalb County."
